id;latitude;longitude;depth;phylum;class;order;family;genus;species
323284;20.5;120.1666565;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
914375;22.30999947;120.3499985;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
1336649;22.47999954;120.4599991;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
1720483;22.36000061;120.3700027;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
2164982;25.21999931;121.6200027;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3660199;33.75;125.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3675905;34.20000076;126.1999969;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3675922;34.20000076;126.1999969;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3675956;34.20000076;126.1999969;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3676072;34.20000076;126.1999969;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3735653;36.00999832;126.4499969;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3744198;36.09999847;126.3000031;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3744199;36.09999847;126.3000031;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3745577;34.75;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3746290;33.75;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3746291;35.25;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3746292;33.75;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3749480;35.86999893;126.2099991;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3751873;35.25;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3751874;34.75;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3752708;34.75;126.25;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3761269;34.75;125.75;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3761270;34.75;125.75;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3761471;34.25;125.75;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3761472;34.25;125.75;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3761473;34.25;125.75;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3762436;34.29999924;125.3000031;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3762722;34.29999924;125.3000031;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
3762723;34.29999924;125.3000031;;Chordata;Elasmobranchii;Rajiformes;Rajidae;Okamejei;Okamejei kenojei
